Date,Category,Description,Payment_Mode,Amount (INR),User_ID,Month,Year
01-01-2015,Food,Restaurant,Cash,1463.46,U006,Jan,2015
01-01-2015,Entertainment,Movie Tickets,Net Banking,3020.42,U001,Jan,2015
01-01-2015,Health,Medicine,Credit Card,2811.87,U006,Jan,2015
02-01-2015,Miscellaneous,Stationery Purchase,UPI,4708.96,U003,Jan,2015
02-01-2015,Entertainment,Movie Tickets,Net Banking,450.34,U004,Jan,2015
02-01-2015,Food,Fast Food,Cash,4443.06,U001,Jan,2015
03-01-2015,Transport,Bus Fare,Credit Card,1293.85,U009,Jan,2015
03-01-2015,Food,Lunch with Friends,Debit Card,4709.45,U003,Jan,2015
03-01-2015,Entertainment,Concert Pass,Debit Card,982.84,U008,Jan,2015
03-01-2015,Miscellaneous,Gift,Net Banking,1536.18,U005,Jan,2015
04-01-2015,Shopping,Mall Shopping,Net Banking,344.15,U009,Jan,2015
04-01-2015,Transport,Metro Card Recharge,Net Banking,1773.53,U010,Jan,2015
04-01-2015,Shopping,Amazon Purchase,Credit Card,1807.2,U001,Jan,2015
04-01-2015,Shopping,Myntra Order,UPI,4894.72,U004,Jan,2015
05-01-2015,Bills,Water Bill,Net Banking,866.98,U003,Jan,2015
05-01-2015,Bills,Mobile Recharge,Debit Card,4866.27,U010,Jan,2015
06-01-2015,Health,Doctor Visit,UPI,3260.25,U004,Jan,2015
06-01-2015,Miscellaneous,Stationery Purchase,Net Banking,2976.42,U006,Jan,2015
06-01-2015,Groceries,Big Bazaar,UPI,1717.07,U001,Jan,2015
06-01-2015,Health,Health Checkup,Debit Card,966.89,U004,Jan,2015
07-01-2015,Bills,Electricity Bill,Credit Card,3887.53,U007,Jan,2015
07-01-2015,Shopping,Amazon Purchase,UPI,245.44,U007,Jan,2015
07-01-2015,Shopping,Mall Shopping,Net Banking,781.16,U003,Jan,2015
07-01-2015,Groceries,Supermarket Purchase,Credit Card,982.2,U010,Jan,2015
08-01-2015,Bills,Water Bill,UPI,3524.23,U002,Jan,2015
08-01-2015,Entertainment,Movie Tickets,Net Banking,2215.63,U010,Jan,2015
09-01-2015,Shopping,Flipkart Purchase,Cash,3023.65,U006,Jan,2015
09-01-2015,Health,Pharmacy Purchase,Debit Card,1387.82,U002,Jan,2015
09-01-2015,Miscellaneous,Pet Supplies,UPI,3374.92,U007,Jan,2015
10-01-2015,Entertainment,Movie Tickets,UPI,4316.32,U007,Jan,2015
11-01-2015,Transport,Bus Fare,Debit Card,179.77,U002,Jan,2015
11-01-2015,Health,Medicine,UPI,3823.62,U006,Jan,2015
11-01-2015,Shopping,Mall Shopping,Net Banking,2718.85,U003,Jan,2015
11-01-2015,Miscellaneous,Stationery Purchase,Credit Card,2673.76,U009,Jan,2015
12-01-2015,Transport,Fuel Refill,Debit Card,3110.1,U007,Jan,2015
13-01-2015,Groceries,Supermarket Purchase,UPI,2955,U008,Jan,2015
13-01-2015,Food,Domino's Order,Net Banking,4677.39,U002,Jan,2015
14-01-2015,Transport,Bus Fare,Credit Card,1892.19,U001,Jan,2015
15-01-2015,Miscellaneous,Stationery Purchase,Net Banking,4333.16,U001,Jan,2015
15-01-2015,Transport,Metro Card Recharge,Debit Card,778.51,U002,Jan,2015
15-01-2015,Miscellaneous,Stationery Purchase,Debit Card,1786.26,U003,Jan,2015
15-01-2015,Bills,Water Bill,Cash,4573.69,U009,Jan,2015
16-01-2015,Transport,Fuel Refill,Credit Card,474.17,U003,Jan,2015
16-01-2015,Food,Lunch with Friends,UPI,2730.13,U005,Jan,2015
16-01-2015,Transport,Fuel Refill,UPI,4533.71,U008,Jan,2015
16-01-2015,Miscellaneous,Gift,Cash,891.7,U001,Jan,2015
17-01-2015,Transport,Uber Ride,Net Banking,2223.24,U004,Jan,2015
17-01-2015,Groceries,Big Bazaar,UPI,4301.52,U002,Jan,2015
17-01-2015,Health,Medicine,Debit Card,3867.8,U008,Jan,2015
18-01-2015,Transport,Uber Ride,Credit Card,4346.04,U002,Jan,2015
18-01-2015,Groceries,Reliance Fresh,Credit Card,3730.73,U001,Jan,2015
18-01-2015,Shopping,Mall Shopping,Debit Card,2199.56,U004,Jan,2015
18-01-2015,Groceries,Big Bazaar,Credit Card,3081.88,U006,Jan,2015
19-01-2015,Food,Cafe,Debit Card,4463.23,U009,Jan,2015
19-01-2015,Bills,Internet Bill,Cash,3590.43,U007,Jan,2015
19-01-2015,Bills,Internet Bill,Credit Card,4845.08,U003,Jan,2015
19-01-2015,Transport,Fuel Refill,Credit Card,3913.9,U008,Jan,2015
20-01-2015,Bills,Internet Bill,UPI,253.37,U001,Jan,2015
20-01-2015,Groceries,Reliance Fresh,Net Banking,1045.51,U008,Jan,2015
20-01-2015,Transport,Fuel Refill,Cash,2727.28,U008,Jan,2015
21-01-2015,Entertainment,Concert Pass,Credit Card,4367.21,U006,Jan,2015
21-01-2015,Shopping,Flipkart Purchase,Net Banking,2310.36,U001,Jan,2015
22-01-2015,Shopping,Flipkart Purchase,Debit Card,1969.33,U007,Jan,2015
22-01-2015,Groceries,Big Bazaar,Debit Card,1367.72,U004,Jan,2015
22-01-2015,Shopping,Myntra Order,Net Banking,761.05,U002,Jan,2015
22-01-2015,Miscellaneous,Gift,Debit Card,3975.75,U001,Jan,2015
23-01-2015,Health,Doctor Visit,UPI,2832.01,U004,Jan,2015
23-01-2015,Groceries,Reliance Fresh,Debit Card,4803.08,U004,Jan,2015
23-01-2015,Health,Doctor Visit,Credit Card,2900.63,U001,Jan,2015
24-01-2015,Food,Lunch with Friends,Cash,2661.09,U010,Jan,2015
24-01-2015,Groceries,Big Bazaar,Net Banking,2654.17,U003,Jan,2015
24-01-2015,Bills,Mobile Recharge,Net Banking,1449.12,U004,Jan,2015
25-01-2015,Transport,Metro Card Recharge,Cash,3406.07,U004,Jan,2015
25-01-2015,Groceries,Reliance Fresh,Net Banking,817.43,U008,Jan,2015
25-01-2015,Bills,Electricity Bill,Net Banking,1931.11,U010,Jan,2015
26-01-2015,Miscellaneous,Pet Supplies,UPI,4485.19,U010,Jan,2015
27-01-2015,Entertainment,Movie Tickets,Debit Card,4061.91,U008,Jan,2015
28-01-2015,Health,Doctor Visit,Credit Card,503.82,U004,Jan,2015
